Id,Type,Term,Description,GE,Requirements,Department
AEPS 120,Lab,2192,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2194,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2198,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2202,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2204,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2208,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2212,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2214,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2218,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lab,2222,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2184,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2188,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2192,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2194,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2198,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2202,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2204,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2208,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2212,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2214,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2218,Principles of Horticulture and Crop Science,,,AEPS
AEPS 120,Lec,2222,Principles of Horticulture and Crop Science,,,AEPS
AEPS 123,LAB,2182,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,LEC,2182,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lab,2192,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lab,2202,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lab,2212,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lab,2218,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lec,2192,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lec,2202,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lec,2212,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 123,Lec,2218,Landscape Installation and Maintenance,,Prerequisite: AEPS 120.,AEPS
AEPS 124,Lab,2184,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lab,2194,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lab,2204,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lab,2214,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lab,2224,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lec,2184,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lec,2194,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lec,2204,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lec,2214,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 124,Lec,2224,Plant Propagation,,Prerequisite: AEPS 120 and BOT 121.,AEPS
AEPS 127,LAB,2182,Horticulture and Landscape Design,,,AEPS
AEPS 127,LEC,2182,Horticulture and Landscape Design,,,AEPS
AEPS 127,Lab,2208,Horticulture and Landscape Design,,,AEPS
AEPS 127,Lab,2222,Horticulture and Landscape Design,,,AEPS
AEPS 127,Lec,2208,Horticulture and Landscape Design,,,AEPS
AEPS 127,Lec,2222,Horticulture and Landscape Design,,,AEPS
AEPS 132,LAB,2182,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,LEC,2182,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lab,2192,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lab,2202,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lab,2212,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lab,2222,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lec,2192,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lec,2202,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lec,2212,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 132,Lec,2222,Pomology I,,Prerequisite: AEPS 120. Not open to students with credit in AEPS 250 (Formerly FRSC 230).,AEPS
AEPS 133,Lab,2184,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lab,2194,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lab,2204,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lab,2214,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lab,2224,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lec,2184,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lec,2194,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lec,2204,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lec,2214,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 133,Lec,2224,Pomology II,,Prerequisite: AEPS 132.,AEPS
AEPS 150,Lab,2188,Forage Crops,,,AEPS
AEPS 150,Lab,2198,Forage Crops,,,AEPS
AEPS 150,Lab,2208,Forage Crops,,,AEPS
AEPS 150,Lab,2218,Forage Crops,,,AEPS
AEPS 150,Lec,2188,Forage Crops,,,AEPS
AEPS 150,Lec,2198,Forage Crops,,,AEPS
AEPS 150,Lec,2208,Forage Crops,,,AEPS
AEPS 150,Lec,2218,Forage Crops,,,AEPS
AEPS 175,Lab,2184,Beekeeping,,,AEPS
AEPS 175,Lab,2188,Beekeeping,,,AEPS
AEPS 175,Lab,2194,Beekeeping,,,AEPS
AEPS 175,Lab,2198,Beekeeping,,,AEPS
AEPS 175,Lab,2204,Beekeeping,,,AEPS
AEPS 175,Lab,2208,Beekeeping,,,AEPS
AEPS 175,Lab,2214,Beekeeping,,,AEPS
AEPS 175,Lab,2218,Beekeeping,,,AEPS
AEPS 175,Lab,2224,Beekeeping,,,AEPS
AEPS 175,Lec,2184,Beekeeping,,,AEPS
AEPS 175,Lec,2188,Beekeeping,,,AEPS
AEPS 175,Lec,2194,Beekeeping,,,AEPS
AEPS 175,Lec,2198,Beekeeping,,,AEPS
AEPS 175,Lec,2204,Beekeeping,,,AEPS
AEPS 175,Lec,2208,Beekeeping,,,AEPS
AEPS 175,Lec,2214,Beekeeping,,,AEPS
AEPS 175,Lec,2218,Beekeeping,,,AEPS
AEPS 175,Lec,2224,Beekeeping,,,AEPS
AEPS 190,Lab,2184,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lab,2194,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lab,2204,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lab,2214,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lab,2224,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lec,2184,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lec,2194,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lec,2204,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lec,2214,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 190,Lec,2224,California Vegetable Production,,Prerequisite: AEPS 120.,AEPS
AEPS 200,IND,2182,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2184,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2188,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2192,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2194,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2198,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2202,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2204,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2208,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2212,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2214,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2218,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2222,Special Problems for Undergraduates,,,AEPS
AEPS 200,Ind,2224,Special Problems for Undergraduates,,,AEPS
AEPS 200 8W1,Ind,2186,Special Problems for Undergraduates,,,AEPS
AEPS 200 8W1,Ind,2196,Special Problems for Undergraduates,,,AEPS
AEPS 200 8W1,Ind,2206,Special Problems for Undergraduates,,,AEPS
AEPS 200 8W1,Ind,2216,Special Problems for Undergraduates,,,AEPS
AEPS 202,ACT,2182,Fruit Enterprise Project,,,AEPS
AEPS 202,Act,2192,Fruit Enterprise Project,,,AEPS
AEPS 202,LEC,2182,Fruit Enterprise Project,,,AEPS
AEPS 202,Lec,2192,Fruit Enterprise Project,,,AEPS
AEPS 203,ACT,2182,Organic Enterprise,,,AEPS
AEPS 203,Act,2184,Organic Enterprise,,,AEPS
AEPS 203,Act,2188,Organic Enterprise,,,AEPS
AEPS 203,Act,2192,Organic Enterprise,,,AEPS
AEPS 203,Act,2194,Organic Enterprise,,,AEPS
AEPS 203,Act,2198,Organic Enterprise Project,,,AEPS
AEPS 203,Act,2202,Organic Enterprise Project,,,AEPS
AEPS 203,Act,2218,Organic Enterprise Project,,,AEPS
AEPS 203,Act,2222,Organic Enterprise Project,,,AEPS
AEPS 203,Act,2224,Organic Enterprise Project,,,AEPS
AEPS 203,LEC,2182,Organic Enterprise,,,AEPS
AEPS 203,Lec,2184,Organic Enterprise,,,AEPS
AEPS 203,Lec,2188,Organic Enterprise,,,AEPS
AEPS 203,Lec,2192,Organic Enterprise,,,AEPS
AEPS 203,Lec,2194,Organic Enterprise,,,AEPS
AEPS 203,Lec,2198,Organic Enterprise Project,,,AEPS
AEPS 203,Lec,2202,Organic Enterprise Project,,,AEPS
AEPS 203,Lec,2218,Organic Enterprise Project,,,AEPS
AEPS 203,Lec,2222,Organic Enterprise Project,,,AEPS
AEPS 203,Lec,2224,Organic Enterprise Project,,,AEPS
AEPS 204,ACT,2182,Vegetable Enterprise Project,,,AEPS
AEPS 204,Act,2184,Vegetable Enterprise Project,,,AEPS
AEPS 204,Act,2188,Vegetable Enterprise Project,,,AEPS
AEPS 204,Act,2192,Vegetable Enterprise Project,,,AEPS
AEPS 204,Act,2194,Vegetable Enterprise Project,,,AEPS
AEPS 204,LEC,2182,Vegetable Enterprise Project,,,AEPS
AEPS 204,Lec,2184,Vegetable Enterprise Project,,,AEPS
AEPS 204,Lec,2188,Vegetable Enterprise Project,,,AEPS
AEPS 204,Lec,2192,Vegetable Enterprise Project,,,AEPS
AEPS 204,Lec,2194,Vegetable Enterprise Project,,,AEPS
AEPS 205,Act,2198,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Act,2202,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Act,2218,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Act,2222,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Act,2224,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Lec,2198,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Lec,2202,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Lec,2218,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Lec,2222,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 205,Lec,2224,Orchard and Vegetable Enterprise Project,,Not open to students with credit in AEPS 202 or AEPS 204.,AEPS
AEPS 212,ACT,2182,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Act,2184,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Act,2188,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Act,2192,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Act,2194,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Act,2198,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Act,2202,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Act,2222,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,LEC,2182,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Lec,2184,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Lec,2188,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Lec,2192,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Lec,2194,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Lec,2198,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Lec,2202,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 212,Lec,2222,Environmental Horticulture Enterprise Project I,,,AEPS
AEPS 215,LAB,2182,Floral Design I,,,AEPS
AEPS 215,LEC,2182,Floral Design I,,,AEPS
AEPS 215,Lab,2188,Floral Design I,,,AEPS
AEPS 215,Lab,2192,Floral Design I,,,AEPS
AEPS 215,Lab,2198,Floral Design I,,,AEPS
AEPS 215,Lab,2202,Floral Design I,,,AEPS
AEPS 215,Lab,2208,Floral Design I,,,AEPS
AEPS 215,Lab,2212,Floral Design I,,,AEPS
AEPS 215,Lab,2218,Floral Design I,,,AEPS
AEPS 215,Lab,2222,Floral Design I,,,AEPS
AEPS 215,Lec,2188,Floral Design I,,,AEPS
AEPS 215,Lec,2192,Floral Design I,,,AEPS
AEPS 215,Lec,2198,Floral Design I,,,AEPS
AEPS 215,Lec,2202,Floral Design I,,,AEPS
AEPS 215,Lec,2208,Floral Design I,,,AEPS
AEPS 215,Lec,2212,Floral Design I,,,AEPS
AEPS 215,Lec,2218,Floral Design I,,,AEPS
AEPS 215,Lec,2222,Floral Design I,,,AEPS
AEPS 225,Lab,2184,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lab,2194,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lab,2204,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lab,2214,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lab,2224,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lec,2184,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lec,2194,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lec,2204,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lec,2214,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 225,Lec,2224,Floral Design II,,Prerequisite: AEPS 215.,AEPS
AEPS 233,Lab,2184,Plant Materials I,,,AEPS
AEPS 233,Lab,2194,Plant Materials I,,,AEPS
AEPS 233,Lab,2204,Plant Materials I,,,AEPS
AEPS 233,Lab,2214,Plant Materials I,,,AEPS
AEPS 233,Lab,2224,Plant Materials I,,,AEPS
AEPS 233,Lec,2184,Plant Materials I,,,AEPS
AEPS 233,Lec,2194,Plant Materials I,,,AEPS
AEPS 233,Lec,2204,Plant Materials I,,,AEPS
AEPS 233,Lec,2214,Plant Materials I,,,AEPS
AEPS 233,Lec,2224,Plant Materials I,,,AEPS
AEPS 234,Lab,2188,Plant Materials II,,,AEPS
AEPS 234,Lab,2198,Plant Materials II,,,AEPS
AEPS 234,Lab,2208,Plant Materials II,,,AEPS
AEPS 234,Lab,2218,Plant Materials II,,,AEPS
AEPS 234,Lec,2188,Plant Materials II,,,AEPS
AEPS 234,Lec,2198,Plant Materials II,,,AEPS
AEPS 234,Lec,2208,Plant Materials II,,,AEPS
AEPS 234,Lec,2218,Plant Materials II,,,AEPS
AEPS 240,Lab,2184,Commercial Seed Production,,Prerequisite: AEPS 120 or AEPS 260.,AEPS
AEPS 240,Lab,2194,Commercial Seed Production,,Prerequisite: AEPS 120 or AEPS 260.,AEPS
AEPS 240,Lab,2214,Commercial Seed Production,,Prerequisite: AEPS 120 or AEPS 260.,AEPS
AEPS 240,Lec,2184,Commercial Seed Production,,Prerequisite: AEPS 120 or AEPS 260.,AEPS
AEPS 240,Lec,2194,Commercial Seed Production,,Prerequisite: AEPS 120 or AEPS 260.,AEPS
AEPS 240,Lec,2214,Commercial Seed Production,,Prerequisite: AEPS 120 or AEPS 260.,AEPS
AEPS 244,LAB,2182,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,LEC,2182,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lab,2192,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lab,2202,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lab,2212,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lab,2222,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lec,2192,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lec,2202,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lec,2212,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 244,Lec,2222,Precision Farming,,Prerequisite: AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239.,AEPS
AEPS 245,Act,2188,Horticultural Production Techniques,,,AEPS
AEPS 245,Lab,2188,Horticultural Production Techniques,,,AEPS
AEPS 245,Lab,2198,Horticultural Production Techniques,,,AEPS
AEPS 245,Lab,2208,Horticultural Production Techniques,,,AEPS
AEPS 245,Lab,2218,Horticultural Production Techniques,,,AEPS
AEPS 245,Lec,2198,Horticultural Production Techniques,,,AEPS
AEPS 245,Lec,2208,Horticultural Production Techniques,,,AEPS
AEPS 245,Lec,2218,Horticultural Production Techniques,,,AEPS
AEPS 304,LEC,2182,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2184,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2192,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2194,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2202,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2204,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2212,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2214,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2222,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 304,Lec,2224,Introduction to Plant Breeding,,Prerequisite: AEPS 120 and STAT 218.,AEPS
AEPS 312,Act,2184,Environmental Horticulture Enterprise Project II,,,AEPS
AEPS 312,Act,2194,Environmental Horticulture Enterprise Project II,,,AEPS
AEPS 312,Act,2204,Environmental Horticulture Enterprise Project II,,,AEPS
AEPS 312,Lec,2184,Environmental Horticulture Enterprise Project II,,,AEPS
AEPS 312,Lec,2194,Environmental Horticulture Enterprise Project II,,,AEPS
AEPS 312,Lec,2204,Environmental Horticulture Enterprise Project II,,,AEPS
AEPS 313,Lab,2184,Agricultural Entomology,,"Prerequisite: AEPS 120 or BOT 121; and one of the following: CHEM 110, CHEM 111, or CHEM 127 (CHEM 124 via NOTSCWI)",AEPS
AEPS 313,Lab,2188,Agricultural Entomology,,"Prerequisite: AEPS 120 or BOT 121; and one of the following: CHEM 110, CHEM 111, or CHEM 127 (CHEM 124 via NOTSCWI)",AEPS
AEPS 313,Lab,2194,Agricultural Entomology,,"Prerequisite: AEPS 120 or BOT 121; and one of the following: CHEM 110, CHEM 111, or CHEM 127 (CHEM 124 via NOTSCWI)",AEPS
AEPS 313,Lab,2198,Agricultural Entomology,,"Prerequisite: AEPS 120 or BOT 121; and one of the following: CHEM 110, CHEM 111, or CHEM 127 (CHEM 124 via NOTSCWI)",AEPS
AEPS 313,Lab,2204,Agricultural Entomology,,"Prerequisite: AEPS 120 or BOT 121; and one of the following: CHEM 110, CHEM 111, or CHEM 127 (CHEM 124 via NOTSCWI)",AEPS
