Name,Section,Id,Term,Type,Days,Start Time,End Time,Instructor,Location,Enrollment Capacity,Enrollment Count,Waitlist Count,Drop Count,Id.1,Term.1
AEPS 110,2.0,8174,2202,Act,T,08:10 AM,10:00 AM,"Costello, M",011-0118,24.0,23.0,0.0,12.0,,
AEPS 110,7.0,8174,2222,Act,W,10:10 AM,12:00 PM,"Perry, R",011-0118,24.0,24.0,4.0,5.0,,
AEPS 110,3.0,8175,2202,Act,T,12:10 PM,02:00 PM,"Costello, M",011-0118,24.0,22.0,0.0,11.0,,
AEPS 110 ,8.0,8175,2222,Lec,MWF,08:10 AM,09:00 AM,"Costello, M",186-C103,48.0,24.0,0.0,6.0,,
AEPS 110,4.0,8176,2202,Act,T,02:10 PM,04:00 PM,"Costello, M",011-0118,24.0,21.0,0.0,13.0,,
AEPS 110,9.0,8176,2222,Act,T,08:10 AM,10:00 AM,"Costello, M",011-0118,24.0,9.0,0.0,3.0,,
AEPS 110,10.0,8177,2222,Act,T,12:10 PM,02:00 PM,"Costello, M",011-0118,24.0,15.0,0.0,3.0,,
AEPS 110,7.0,9105,2198,Act,R,08:10 AM,10:00 AM,"Costello, M",011-0118,24.0,23.0,0.0,6.0,,
AEPS 110 ,4.0,9165,2218,Lec,TR,09:40 AM,11:00 AM,"Perry, R",180-0114,48.0,48.0,3.0,27.0,,
AEPS 110,5.0,9198,2218,Act,F,08:10 AM,10:00 AM,"Perry, R",011-0118,24.0,24.0,1.0,14.0,,
AEPS 110 ,6.0,9199,2218,Act,F,10:10 AM,12:00 PM,"Perry, R",011-0118,24.0,24.0,2.0,14.0,,
AEPS 120,1.0,4073,2218,Lec,MWF,09:10 AM,10:00 AM,"Garner, L",033-0286,120.0,107.0,2.0,28.0,,
AEPS 120,2.0,4074,2218,Lab,T,08:10 AM,11:00 AM,"Garner, L",048-0105,24.0,23.0,1.0,10.0,,
AEPS 120,3.0,4075,2218,Lab,T,12:10 PM,03:00 PM,"Garner, L",048-0105,24.0,23.0,0.0,12.0,,
AEPS 120,1.0,4209,2222,Lec,MWF,12:10 PM,01:00 PM,"Garner, L",052-0E27,84.0,60.0,1.0,13.0,,
AEPS 120 /0,2.0,4210,2222,Lab,,,,,,0.0,0.0,0.0,0.0,,
AEPS 120,3.0,4351,2222,Lab,T,12:10 PM,03:00 PM,"Carney, S",048-0105,20.0,19.0,1.0,6.0,,
AEPS 120,1.0,4467,2208,Lec,,,,"Garner, L",,96.0,106.0,9.0,18.0,,
AEPS 120,2.0,4468,2208,Lab,T,08:10 AM,11:00 AM,"Garner, L",999,24.0,26.0,2.0,16.0,,
AEPS 120,3.0,4469,2208,Lab,T,12:10 PM,03:00 PM,"Garner, L",999,24.0,26.0,3.0,6.0,,
AEPS 120,1.0,4617,2212,Lec,MWF,11:10 AM,12:00 PM,"Garner, L",999,48.0,46.0,6.0,21.0,,
AEPS 120,2.0,4618,2212,Lab,T,09:10 AM,11:00 AM,"Sultan, K",999,24.0,24.0,2.0,12.0,,
AEPS 120,3.0,4790,2212,Lab,T,01:10 PM,03:00 PM,"Sultan, K",999,24.0,22.0,4.0,11.0,,
AEPS 120,4.0,5362,2218,Lab,W,12:10 PM,03:00 PM,"Souikane, R",048-0105,24.0,24.0,1.0,10.0,,
AEPS 120,5.0,5623,2218,Lab,R,12:10 PM,03:00 PM,"Carney, S",048-0105,24.0,16.0,0.0,5.0,,
AEPS 120,1.0,6004,2214,Lec,MWF,01:10 PM,02:00 PM,"Garner, L",999,48.0,47.0,7.0,24.0,,
AEPS 120,2.0,6005,2214,Lab,T,08:10 AM,10:00 AM,"Sultan, K",999,24.0,24.0,1.0,14.0,,
AEPS 120,3.0,6006,2214,Lab,W,03:10 PM,05:00 PM,"Sultan, K",999,24.0,23.0,6.0,13.0,,
AEPS 120,6.0,6054,2208,Lab,W,12:10 PM,03:00 PM,"Garner, L",999,24.0,28.0,4.0,8.0,,
AEPS 120,5.0,6399,2208,Lab,R,12:10 PM,03:00 PM,"Garner, L",999,24.0,26.0,0.0,1.0,,
AEPS 120,4.0,8160,2222,Lab,R,08:10 AM,11:00 AM,"Wong, J",048-0105,24.0,21.0,0.0,9.0,,
AEPS 120 /0,5.0,8161,2222,Lab,R,12:10 PM,03:00 PM,,048-0105,20.0,11.0,0.0,0.0,,
AEPS 120,7.0,8273,2218,Lab,R,08:10 AM,11:00 AM,"Garner, L",048-0105,24.0,21.0,0.0,11.0,,
AEPS 120,6.0,9637,2222,Lab,W,08:10 AM,11:00 AM,"Souikane, R",048-0105,20.0,9.0,0.0,2.0,,
AEPS 123,1.0,4643,2212,Lec,TR,05:10 PM,06:30 PM,"Meertens, P",999,24.0,21.0,0.0,3.0,,
AEPS 123,2.0,4644,2212,Lab,R,08:10 AM,11:00 AM,"Meertens, P",999,24.0,21.0,0.0,3.0,,
AEPS 123,1.0,8282,2218,Lec,TR,05:10 PM,06:30 PM,"Meertens, P",013-0110,24.0,9.0,0.0,4.0,,
AEPS 123,2.0,8283,2218,Lab,F,12:10 PM,03:00 PM,"Meertens, P",048-0105,24.0,9.0,0.0,4.0,,
AEPS 150 /0,3.0,****,2218,Lab,,,,,,0.0,0.0,0.0,0.0,,
AEPS 150,3.0,****,2218,Lab,R,08:10 AM,11:00 AM,"Wong, J",017J-0101,24.0,0.0,0.0,0.0,,
AEPS 150,1.0,4756,2218,Lec,MW,04:10 PM,05:30 PM,"Wong, J",186-C203,24.0,22.0,0.0,10.0,,
AEPS 150,1.0,5300,2208,Lec,,,,"Wong, J",,48.0,48.0,0.0,12.0,,
AEPS 150,3.0,5301,2208,Lab,,,,"Sultan, K",,24.0,24.0,0.0,8.0,,
AEPS 150,2.0,6143,2218,Lab,T,12:10 PM,03:00 PM,"Wong, J",017J-0101,24.0,22.0,0.0,10.0,,
AEPS 150,2.0,7050,2208,Lab,,,,"Sultan, K",,24.0,24.0,0.0,4.0,,
AEPS 175 /2,1.0,4046,2214,Lec,,,,"Rose, J",,48.0,82.0,42.0,59.0,,
AEPS 175 /2,2.0,4047,2214,Lab,T,12:10 PM,03:00 PM,"Rose, J",017-0017,24.0,26.0,16.0,31.0,,
AEPS 175 /2,3.0,4048,2214,Lab,T,03:10 PM,06:00 PM,"Rose, J",017-0017,24.0,32.0,26.0,34.0,,
AEPS 175 /2,1.0,4658,2218,Lec,T,09:10 AM,11:00 AM,"Frazier, P",017J-0101,48.0,48.0,5.0,44.0,,
AEPS 175 /2,2.0,4659,2218,Lab,T,12:10 PM,03:00 PM,"Rose, J",017J-0102,24.0,23.0,5.0,29.0,,
AEPS 175 /2,3.0,4660,2218,Lab,T,03:10 PM,06:00 PM,"Frazier, P",017J-0102,24.0,26.0,3.0,16.0,,
AEPS 175 ,4.0,9401,2214,Lab,R,12:10 PM,03:00 PM,"Rose, J",017J-0101,0.0,19.0,0.0,1.0,,
AEPS 175 ,5.0,9402,2214,Lab,R,12:10 PM,03:00 PM,"Frazier, P",048Q-0102,0.0,5.0,0.0,0.0,,
AEPS 175 /2,4.0,9693,2218,Lec,R,09:10 AM,11:00 AM,"Rose, J",186-C302,48.0,48.0,5.0,11.0,,
AEPS 175 /2,5.0,9695,2218,Lab,R,12:10 PM,03:00 PM,"Rose, J",017-0015A,24.0,23.0,1.0,7.0,,
AEPS 175 /2,6.0,9698,2218,Lab,R,03:10 PM,06:00 PM,"Rose, J",017-0015A,24.0,24.0,1.0,5.0,,
AEPS 200,2.0,****,2182,IND,,,,"Brown, J",,,,,,,
AEPS 200,4.0,****,2182,IND,,,,"Garner, L",,,,,,,
AEPS 200,5.0,****,2182,IND,,,,"Ivors, K",,,,,,,
AEPS 200,6.0,****,2182,IND,,,,"Headrick, D",,,,,,,
AEPS 200,9.0,****,2182,IND,,,,"Tubeileh, A",,,,,,,
AEPS 200,10.0,****,2182,IND,,,,"Steinmaus, S",,,,,,,
AEPS 200 /0,11.0,****,2182,IND,,,,,,,,,,,
AEPS 200,12.0,****,2182,IND,,,,"Wong, J",,,,,,,
AEPS 200,13.0,****,2182,IND,,,,"Shelton, M",,,,,,,
AEPS 200,15.0,****,2182,IND,,,,"Hoover, B",,,,,,,
AEPS 200,2.0,****,2184,Ind,,,,"Brown, J",,,,,,,
AEPS 200,4.0,****,2184,Ind,,,,"Garner, L",,,,,,,
AEPS 200,5.0,****,2184,Ind,,,,"Ivors, K",,,,,,,
AEPS 200,6.0,****,2184,Ind,,,,"Headrick, D",,,,,,,
AEPS 200,9.0,****,2184,Ind,,,,"Tubeileh, A",,,,,,,
AEPS 200,10.0,****,2184,Ind,,,,"Steinmaus, S",,,,,,,
AEPS 200,12.0,****,2184,Ind,,,,"Wong, J",,,,,,,
AEPS 200 /0,14.0,****,2184,Ind,,,,,,,,,,,
AEPS 200,15.0,****,2184,Ind,,,,"Hoover, B",,,,,,,
AEPS 200 8W1,1.0,****,2186,Ind,,,,"Steinmaus, S",,,,,,,
AEPS 200,2.0,****,2188,Ind,,,,"Brown, J",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2188,Ind,,,,"Garner, L",,24.0,1.0,0.0,0.0,,
AEPS 200,5.0,****,2188,Ind,,,,"Snyder, S",,6.0,4.0,0.0,0.0,,
AEPS 200,6.0,****,2188,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2188,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2188,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2188,Ind,,,,"Wassenberg, C",,3.0,2.0,0.0,0.0,,
AEPS 200,12.0,****,2188,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,14.0,****,2188,Ind,,,,"Holmes, G",,24.0,1.0,0.0,0.0,,
AEPS 200,15.0,****,2188,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200 /0,17.0,****,2188,Ind,,,,,,24.0,0.0,0.0,0.0,,
AEPS 200,2.0,****,2192,Ind,,,,"Brown, W",,24.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2192,Ind,,,,"Garner, L",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2192,Ind,,,,"Snyder, S",,24.0,2.0,0.0,0.0,,
AEPS 200,5.0,****,2192,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2192,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,7.0,****,2192,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,8.0,****,2192,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2192,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2192,Ind,,,,"Shelton, M",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2192,Ind,,,,"Hoover, B",,24.0,3.0,0.0,1.0,,
AEPS 200,12.0,****,2192,Ind,,,,"Wassenberg, C",,3.0,0.0,0.0,0.0,,
AEPS 200,13.0,****,2192,Ind,,,,"Bush, M",,3.0,1.0,0.0,0.0,,
AEPS 200,2.0,****,2194,Ind,,,,"Brown, W",,24.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2194,Ind,,,,"Garner, L",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2194,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2194,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2194,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,7.0,****,2194,Ind,,,,"Steinmaus, S",,24.0,6.0,0.0,0.0,,
AEPS 200,8.0,****,2194,Ind,,,,"Snyder, S",,6.0,3.0,0.0,1.0,,
AEPS 200,9.0,****,2194,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2194,Ind,,,,"Wassenberg, C",,3.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2194,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200 8W1,1.0,****,2196,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,2.0,****,2198,Ind,,,,"Brown, W",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2198,Ind,,,,"Garner, L",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2198,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2198,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2198,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2198,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2198,Ind,,,,"Wassenberg, C",,3.0,0.0,0.0,0.0,,
AEPS 200,12.0,****,2198,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,14.0,****,2198,Ind,,,,"Holmes, G",,24.0,0.0,0.0,0.0,,
AEPS 200,15.0,****,2198,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200,16.0,****,2198,Ind,T,12:10 PM,03:00 PM,"Snyder, S",048-0101,7.0,2.0,0.0,2.0,,
AEPS 200,18.0,****,2198,Ind,,,,"Hewavitharana, S",,24.0,0.0,0.0,0.0,,
AEPS 200,2.0,****,2202,Ind,,,,"Brown, W",,24.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2202,Ind,,,,"Garner, L",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2202,Ind,,,,"Hewavitharana, S",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2202,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2202,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,7.0,****,2202,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,8.0,****,2202,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2202,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2202,Ind,,,,"Shelton, M",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2202,Ind,,,,"Hoover, B",,24.0,1.0,0.0,0.0,,
AEPS 200,12.0,****,2202,Ind,,,,"Wassenberg, C",,3.0,0.0,0.0,0.0,,
AEPS 200,2.0,****,2204,Ind,,,,"Brown, W",,24.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2204,Ind,,,,"Garner, L",,24.0,1.0,0.0,0.0,,
AEPS 200,4.0,****,2204,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2204,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2204,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,7.0,****,2204,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200 /0,8.0,****,2204,Ind,,,,,,0.0,0.0,0.0,5.0,,
AEPS 200,9.0,****,2204,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2204,Ind,,,,"Wassenberg, C",,3.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2204,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200 /0,12.0,****,2204,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 8W1,1.0,****,2206,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2208,Ind,,,,"Garner, L",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2208,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2208,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2208,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2208,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2208,Ind,,,,"Wassenberg, C",,3.0,1.0,0.0,0.0,,
AEPS 200,12.0,****,2208,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,14.0,****,2208,Ind,,,,"Holmes, G",,24.0,0.0,0.0,0.0,,
AEPS 200,15.0,****,2208,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200,18.0,****,2208,Ind,,,,"Hewavitharana, S",,24.0,0.0,0.0,0.0,,
AEPS 200,2.0,****,2212,Ind,,,,"Brown, W",,24.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2212,Ind,,,,"Garner, L",,24.0,0.0,0.0,1.0,,
AEPS 200,4.0,****,2212,Ind,,,,"Hewavitharana, S",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2212,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2212,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,7.0,****,2212,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,8.0,****,2212,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2212,Ind,,,,"Wong, J",,24.0,0.0,0.0,1.0,,
AEPS 200 /2,10.0,****,2212,Ind,,,,"Frazier, P",,3.0,2.0,0.0,0.0,,
AEPS 200,11.0,****,2212,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200 /0,12.0,****,2212,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200,2.0,****,2214,Ind,,,,"Brown, W",,24.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2214,Ind,,,,"Garner, L",,24.0,2.0,0.0,0.0,,
AEPS 200,4.0,****,2214,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2214,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2214,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,7.0,****,2214,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2214,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2214,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200 8W1,1.0,****,2216,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2218,Ind,,,,"Garner, L",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2218,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2218,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2218,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,10.0,****,2218,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2218,Ind,,,,"Wassenberg, C",,3.0,0.0,0.0,0.0,,
AEPS 200,12.0,****,2218,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,14.0,****,2218,Ind,,,,"Holmes, G",,24.0,0.0,0.0,0.0,,
AEPS 200,15.0,****,2218,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200,18.0,****,2218,Ind,,,,"Hewavitharana, S",,24.0,0.0,0.0,0.0,,
AEPS 200 /0,19.0,****,2218,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2222,Ind,,,,"Garner, L",,24.0,0.0,0.0,0.0,,
AEPS 200,4.0,****,2222,Ind,,,,"Hewavitharana, S",,24.0,0.0,0.0,0.0,,
AEPS 200,5.0,****,2222,Ind,,,,"Headrick, D",,24.0,0.0,0.0,0.0,,
AEPS 200,6.0,****,2222,Ind,,,,"Tubeileh, A",,24.0,0.0,0.0,0.0,,
AEPS 200,7.0,****,2222,Ind,,,,"Steinmaus, S",,24.0,0.0,0.0,0.0,,
AEPS 200,8.0,****,2222,Ind,,,,"Ding, S",,24.0,0.0,0.0,0.0,,
AEPS 200,9.0,****,2222,Ind,,,,"Wong, J",,24.0,0.0,0.0,0.0,,
AEPS 200,11.0,****,2222,Ind,,,,"Hoover, B",,24.0,0.0,0.0,0.0,,
AEPS 200,3.0,****,2224,Ind,,,,"Garner, L",,24.0,,,,,
AEPS 200,4.0,****,2224,Ind,,,,"Ding, S",,24.0,,,,,
AEPS 200,5.0,****,2224,Ind,,,,"Headrick, D",,24.0,,,,,
AEPS 200,6.0,****,2224,Ind,,,,"Tubeileh, A",,24.0,,,,,
AEPS 200,7.0,****,2224,Ind,,,,"Steinmaus, S",,24.0,,,,,
AEPS 200,9.0,****,2224,Ind,,,,"Wong, J",,24.0,,,,,
AEPS 200,11.0,****,2224,Ind,,,,"Hoover, B",,24.0,,,,,
AEPS 200 /0,1.0,3719,2224,Ind,,,,,,0.0,,,,,
AEPS 200 /0,1.0,4049,2214,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4076,2218,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4192,2222,Ind,,,,,,24.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4426,2204,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4471,2208,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4600,2212,Ind,,,,,,24.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4651,2198,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4793,2194,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4838,2202,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,4950,2188,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,5137,2184,Ind,,,,,,0.0,0.0,0.0,0.0,,
AEPS 200 /0,1.0,5159,2192,Ind,,,,,,0.0,0.0,0.0,0.0,,
